,Age,Hours per day,While working,Instrumentalist,Composer,Exploratory,Foreign languages,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Depression
161,18.0,2.0,1,0,0,0,1,1,0,0,0,0,0,0,3,0,1,0,3,2,0,0,0,0
162,49.0,1.0,1,0,0,1,0,2,0,3,2,0,2,1,1,1,2,2,2,1,1,3,2,1
163,21.0,3.0,1,1,1,1,0,2,1,1,2,0,1,1,1,0,2,3,3,1,2,3,2,0
164,27.0,10.0,1,0,0,1,1,0,1,2,2,0,2,1,1,1,2,3,3,2,2,3,2,1
165,19.0,1.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,2,3,2,1,1,3,0,0
166,27.0,3.0,1,0,0,1,1,2,0,0,1,0,2,1,0,0,1,3,0,1,2,2,1,0
167,27.0,1.5,1,0,0,0,0,0,0,0,1,0,2,0,1,0,1,3,2,0,2,3,2,0
168,19.0,3.0,1,1,0,1,1,2,0,0,3,1,1,1,3,0,2,0,2,2,1,2,2,1
169,42.0,2.5,1,1,0,0,1,2,1,3,1,0,2,3,0,1,1,2,1,1,1,2,1,1
170,60.0,2.0,1,0,0,0,0,1,2,0,1,3,0,0,0,1,0,0,2,1,0,2,0,0
171,19.0,5.0,1,0,0,0,1,2,1,1,2,2,2,1,0,0,3,3,0,0,2,3,2,0
172,20.0,2.0,1,0,0,1,0,1,0,0,1,0,2,1,0,0,2,0,3,2,1,2,1,0
173,28.0,2.0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,3,1,0,0,2,1,1
174,16.0,2.0,0,1,1,1,0,2,1,0,0,1,2,2,1,0,2,0,2,2,1,1,2,0
175,18.0,2.0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,3,3,1,0,0,0
176,34.0,1.0,1,0,0,1,1,1,0,3,0,0,0,0,3,0,1,3,1,0,0,3,3,0
177,18.0,1.5,1,0,0,1,0,0,1,1,0,0,1,3,2,1,3,0,3,2,1,1,3,0
178,21.0,5.0,1,1,1,1,1,2,1,0,3,1,1,2,0,1,2,1,3,2,1,3,1,0
179,38.0,0.5,0,0,0,1,1,0,0,1,2,1,2,1,0,2,0,0,3,2,1,3,0,0
180,17.0,2.0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,2,1,2,0,1,3,3,0
181,35.0,0.5,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,3,1,0,2,1,0
182,21.0,2.0,1,0,0,0,1,1,2,1,2,0,3,1,0,3,3,3,3,3,3,3,1,1
183,25.0,2.5,1,0,0,0,0,1,0,0,1,1,2,1,0,3,3,1,2,3,2,2,2,0
184,18.0,2.0,1,1,0,1,1,3,0,0,1,1,2,2,3,1,3,0,2,3,2,0,1,0
185,16.0,2.0,0,0,0,1,0,0,2,1,2,1,1,0,1,0,2,0,3,1,1,3,1,0
186,19.0,1.0,1,0,0,1,1,1,2,1,1,0,2,1,0,0,1,1,3,2,2,3,0,0
187,31.0,4.0,1,1,0,0,1,3,0,1,0,1,2,1,0,2,0,2,1,0,2,2,0,1
188,26.0,5.0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,0,1
189,16.0,2.0,1,1,1,0,0,1,0,3,1,0,0,0,0,0,1,1,2,1,0,3,3,0
190,26.0,2.0,1,1,0,1,1,3,1,1,3,0,1,0,0,0,2,2,1,0,1,3,3,0
191,17.0,2.0,1,0,0,1,1,1,1,0,0,2,2,1,3,0,1,0,2,3,2,0,1,0
192,22.0,1.0,1,1,0,1,1,2,2,1,3,0,0,0,1,1,0,3,1,0,0,3,3,0
193,20.0,4.0,1,0,0,1,1,2,1,0,1,0,2,2,1,0,1,0,2,3,3,3,1,1
194,30.0,1.0,0,1,0,1,0,2,2,1,2,0,1,0,0,0,0,2,2,0,1,3,0,0
195,26.0,4.0,1,0,0,0,0,1,3,1,0,0,1,1,0,2,0,1,3,1,0,2,0,1
196,19.0,5.0,1,0,0,1,1,2,1,0,2,1,1,2,1,1,1,3,2,1,1,3,2,1
197,21.0,5.0,1,0,0,1,0,0,3,1,2,0,1,0,0,0,0,2,2,0,1,3,0,1
198,33.0,7.0,1,0,0,1,1,1,2,2,2,1,3,1,1,2,2,2,3,3,3,3,2,0
199,28.0,2.0,1,0,0,1,0,0,1,1,1,0,2,0,1,0,2,1,2,3,1,3,1,1
200,25.0,3.0,1,0,0,1,1,1,0,2,2,0,1,0,1,0,2,3,2,1,1,3,2,0
201,22.0,2.0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,3,1,1,2,2,1
202,19.0,3.0,1,0,1,1,1,2,0,2,2,0,0,0,0,0,1,1,1,1,0,3,1,1
203,44.0,3.0,1,0,0,1,1,1,1,1,3,1,2,1,0,1,2,0,1,2,2,1,2,1
204,22.0,3.0,1,0,0,0,0,0,1,0,3,0,1,0,0,0,0,3,1,0,0,3,1,1
205,26.0,5.0,1,1,1,1,1,2,1,3,1,1,1,2,2,0,1,3,2,2,1,2,2,1
206,23.0,6.0,1,0,1,0,1,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
207,17.0,2.0,0,0,0,0,1,2,0,1,0,0,3,1,1,0,1,0,2,3,2,0,1,0
208,42.0,2.0,0,0,0,1,0,2,1,2,1,0,2,0,0,0,0,3,2,2,2,3,1,0
209,30.0,1.0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,3,1,1,3,1,0
